Output of KNN.py

|    k    |     li     |     iteration     |      correct train      |      correct test      |

   k = 1,    li = 1,      iteration = 0,       correct train = 50,       correct test = 49
   k = 1,    li = 1,      iteration = 1,       correct train = 50,       correct test = 45
   k = 1,    li = 1,      iteration = 2,       correct train = 50,       correct test = 47
   k = 1,    li = 1,      iteration = 3,       correct train = 49,       correct test = 47
   k = 1,    li = 1,      iteration = 4,       correct train = 49,       correct test = 47
   k = 1,    li = 1,      iteration = 5,       correct train = 49,       correct test = 46
   k = 1,    li = 1,      iteration = 6,       correct train = 50,       correct test = 47
   k = 1,    li = 1,      iteration = 7,       correct train = 50,       correct test = 48
   k = 1,    li = 1,      iteration = 8,       correct train = 49,       correct test = 45
   k = 1,    li = 1,      iteration = 9,       correct train = 50,       correct test = 45
   k = 1,    li = 1,      iteration = 10,       correct train = 50,       correct test = 49
   k = 1,    li = 1,      iteration = 11,       correct train = 49,       correct test = 50
   k = 1,    li = 1,      iteration = 12,       correct train = 50,       correct test = 50
   k = 1,    li = 1,      iteration = 13,       correct train = 49,       correct test = 46
   k = 1,    li = 1,      iteration = 14,       correct train = 49,       correct test = 45
   k = 1,    li = 1,      iteration = 15,       correct train = 49,       correct test = 50
   k = 1,    li = 1,      iteration = 16,       correct train = 49,       correct test = 45
   k = 1,    li = 1,      iteration = 17,       correct train = 50,       correct test = 47
   k = 1,    li = 1,      iteration = 18,       correct train = 49,       correct test = 47
   k = 1,    li = 1,      iteration = 19,       correct train = 49,       correct test = 48
   k = 1,    li = 1,      iteration = 20,       correct train = 49,       correct test = 47
   k = 1,    li = 1,      iteration = 21,       correct train = 49,       correct test = 49
   k = 1,    li = 1,      iteration = 22,       correct train = 49,       correct test = 43
   k = 1,    li = 1,      iteration = 23,       correct train = 49,       correct test = 49
   k = 1,    li = 1,      iteration = 24,       correct train = 50,       correct test = 49
   k = 1,    li = 1,      iteration = 25,       correct train = 50,       correct test = 48
   k = 1,    li = 1,      iteration = 26,       correct train = 50,       correct test = 39
   k = 1,    li = 1,      iteration = 27,       correct train = 48,       correct test = 45
   k = 1,    li = 1,      iteration = 28,       correct train = 50,       correct test = 48
   k = 1,    li = 1,      iteration = 29,       correct train = 50,       correct test = 48
   k = 1,    li = 1,      iteration = 30,       correct train = 50,       correct test = 43
   k = 1,    li = 1,      iteration = 31,       correct train = 50,       correct test = 46
   k = 1,    li = 1,      iteration = 32,       correct train = 50,       correct test = 48
   k = 1,    li = 1,      iteration = 33,       correct train = 50,       correct test = 47
   k = 1,    li = 1,      iteration = 34,       correct train = 49,       correct test = 45
   k = 1,    li = 1,      iteration = 35,       correct train = 50,       correct test = 44
   k = 1,    li = 1,      iteration = 36,       correct train = 50,       correct test = 44
   k = 1,    li = 1,      iteration = 37,       correct train = 50,       correct test = 47
   k = 1,    li = 1,      iteration = 38,       correct train = 49,       correct test = 45
   k = 1,    li = 1,      iteration = 39,       correct train = 49,       correct test = 46
   k = 1,    li = 1,      iteration = 40,       correct train = 50,       correct test = 45
   k = 1,    li = 1,      iteration = 41,       correct train = 50,       correct test = 50
   k = 1,    li = 1,      iteration = 42,       correct train = 49,       correct test = 49
   k = 1,    li = 1,      iteration = 43,       correct train = 49,       correct test = 46
   k = 1,    li = 1,      iteration = 44,       correct train = 49,       correct test = 48
   k = 1,    li = 1,      iteration = 45,       correct train = 49,       correct test = 48
   k = 1,    li = 1,      iteration = 46,       correct train = 50,       correct test = 48
   k = 1,    li = 1,      iteration = 47,       correct train = 50,       correct test = 48
   k = 1,    li = 1,      iteration = 48,       correct train = 48,       correct test = 45
   k = 1,    li = 1,      iteration = 49,       correct train = 50,       correct test = 47
   k = 1,    li = 1,      iteration = 50,       correct train = 50,       correct test = 43
   k = 1,    li = 1,      iteration = 51,       correct train = 50,       correct test = 48
   k = 1,    li = 1,      iteration = 52,       correct train = 49,       correct test = 47
   k = 1,    li = 1,      iteration = 53,       correct train = 50,       correct test = 46
   k = 1,    li = 1,      iteration = 54,       correct train = 49,       correct test = 49
   k = 1,    li = 1,      iteration = 55,       correct train = 49,       correct test = 47
   k = 1,    li = 1,      iteration = 56,       correct train = 49,       correct test = 49
   k = 1,    li = 1,      iteration = 57,       correct train = 50,       correct test = 48
   k = 1,    li = 1,      iteration = 58,       correct train = 50,       correct test = 48
   k = 1,    li = 1,      iteration = 59,       correct train = 50,       correct test = 49
   k = 1,    li = 1,      iteration = 60,       correct train = 49,       correct test = 49
   k = 1,    li = 1,      iteration = 61,       correct train = 50,       correct test = 47
   k = 1,    li = 1,      iteration = 62,       correct train = 50,       correct test = 43
   k = 1,    li = 1,      iteration = 63,       correct train = 50,       correct test = 48
   k = 1,    li = 1,      iteration = 64,       correct train = 50,       correct test = 44
   k = 1,    li = 1,      iteration = 65,       correct train = 50,       correct test = 49
